window,entry,exit,Symbol,Total Return [%],Sharpe Ratio,Max Drawdown [%]
10,25,70,MSFT,-0.5006686597785447,0.2252994074388004,44.21658569759207
10,25,75,MSFT,34.93760886142505,0.5472853909313047,34.91716909115151
10,30,70,MSFT,-10.269986176508478,0.11665932589642303,46.075410329779764
10,30,75,MSFT,30.001229037935,0.5066992554135069,34.91716909115151
14,25,70,MSFT,-35.04622523976275,-0.1278530997363935,64.32638718036016
14,25,75,MSFT,-4.82093631556457,0.1896796198604145,52.062681395024214
14,30,70,MSFT,42.65701074863182,0.6005415884961911,43.73019732725197
14,30,75,MSFT,77.99630405353112,0.853412944950306,34.341903344896025
20,25,70,MSFT,-65.77670574990537,-0.1874797555721007,101.9503746835903
20,25,75,MSFT,-65.70607413237548,0.31441452400429115,95.46952861802423
20,30,70,MSFT,-57.20390051418482,-0.360022080935667,83.27260440346261
20,30,75,MSFT,-55.41944798043467,-0.46185681484875907,77.9790786828113
30,25,70,MSFT,-31.98286536194598,0.47170847562819773,92.32883186620309
30,25,75,MSFT,14.737410944843171,0.37504484830301166,24.21422211883711
30,30,70,MSFT,-66.662271478492,0.028931625501212508,92.32883186620309
30,30,75,MSFT,-19.941995171702846,-0.24240935933783042,31.769808006941762
